Company,Prev Close (Rs),Current Price (Rs),% Change
Vaibhav Global,1276.2,1329.6,+4.18
Lemon Tree Hotels,22.8,23.75,+4.17
Sun Pharma Advanced,162.4,169.15,+4.16
Ashiana Housing Ltd.,59.2,61.65,+4.14
Texmaco Rail & Engin,24.3,25.3,+4.12
Rashtriya Chemicals,46.4,48.3,+4.09
Mangalore Refine,36.65,38.15,+4.09
Vidhi Specialty Food,67.85,70.6,+4.05
Welspun India,37.1,38.6,+4.04
Blue Dart Expres,2042.1,2124.3,+4.03
CreditAccess Grameen,522.25,543.2,+4.01
KEI Industries,348.8,362.6,+3.96
Century Textiles,294.5,306.15,+3.96
Asian Hotels (North),53.0,55.1,+3.96
Power Grid Corpo,174.85,181.75,+3.95
Shakti Pumps (In,165.2,171.7,+3.93
Honda India Power,966.05,1003.75,+3.90
KPIT Technologies,63.0,65.4,+3.81
Airan Ltd.,11.85,12.3,+3.80
Adroit Infotech,7.9,8.2,+3.80
Exide Inds.,148.2,153.8,+3.78
BEML Ltd.,638.65,662.65,+3.76
Max Financial Servic,542.0,562.3,+3.75
Godawari Power & Isp,167.95,174.25,+3.75
Oil India Ltd.,93.65,97.15,+3.74
DIC India,333.3,345.7,+3.72
HSIL Ltd.,52.45,54.4,+3.72
Nectar Lifesciences,21.55,22.35,+3.71
NLC India L,46.15,47.85,+3.68
Chembond Chemica,142.9,148.15,+3.67
Aarti Ind. Ltd,931.4,965.55,+3.67
Tide Water Oil,4072.6,4219.15,+3.60
Advanced Enzyme Tech,170.65,176.75,+3.57
GRP L,634.75,657.3,+3.55
Polycab India,789.3,817.35,+3.55
Kirloskar Oil Engine,106.65,110.4,+3.52
PNB Housing Finance,207.55,214.8,+3.49
Ester India,51.55,53.35,+3.49
Crisil,1618.85,1674.85,+3.46
Elecon Engg.,26.1,27.0,+3.45
NBCC (India),23.25,24.05,+3.44
Menon Bearings L,37.9,39.2,+3.43
Mangalam Cement,187.0,193.4,+3.42
KEC International Lt,270.65,279.9,+3.42
Vedanta,106.4,110.0,+3.38
Karnataka Bank,41.55,42.95,+3.37
Kitex Garments,108.25,111.85,+3.33
Rane Holdings Ltd.,428.7,442.95,+3.32
PNB Gilts Ltd.,36.1,37.3,+3.32
Indiabulls Housing F,207.15,213.9,+3.26
Jubilant Industries,104.3,107.7,+3.26
Wonderla Holidays Lt,131.85,136.15,+3.26
Coromandel Internati,755.75,780.35,+3.26
LIC Housing Fi,265.05,273.45,+3.17
Asian Paints Ltd.,1687.45,1740.15,+3.12
Reliance Ind.Inf,401.7,414.15,+3.10
NCC,29.15,30.05,+3.09
Anjani Portland,137.3,141.5,+3.06
JK Tyre & Industries,64.1,66.05,+3.04
Jindal Stainless (Hi,70.1,72.2,+3.00
Subros Ltd.,170.3,175.35,+2.97
DFM Foods Limi,180.75,186.1,+2.96
Univastu India,32.1,33.05,+2.96
Akzo Nobel India,1834.2,1888.05,+2.94
EID Parry,276.75,284.9,+2.94
