Company,% Change
Orient Cement Ltd.,-8.82
Rushil Decor Ltd.,-8.78
Goldstone Tech,-8.77
Sakthi Sugars,-8.76
Aries Agro Ltd.,-8.72
Pudumjee Paper Produ,-8.71
Taj GVK Hotels & Res,-8.68
Times Guaranty,-8.65
IFB Agro Indus,-8.64
Touchwood Entertainm,-8.63
Gallantt Metal,-8.62
Arrow Greentech,-8.6
Kewal Kiran Clothing,-8.48
Wheels India Ltd.,-8.42
Minda Corporation,-8.39
PC Jeweller L,-8.38
Adani Ports & Speci,-8.36
Emami Paper Mill,-8.35
Jindal Drilling,-8.34
Eastern Silk Indust.,-8.33
Music Broadcast,-8.33
Sundaram Multi P,-8.33
Orient Bell,-8.32
Karur Vysya Bank,-8.3
Vardhman Special St,-8.26
BSL Ltd,-8.25
Aurionpro Solutions,-8.21
Butterfly Gandhima,-8.14
West Coast Paper,-8.13
MRF Ltd,-8.12
Johnson Controls-Hit,-8.05
Munjal Auto Industr.,-8.02
InterGlobe Aviation,-8.0
NTPC,-7.99
Mold-Tek Technologi.,-7.98
Religare Enterprises,-7.98
Alphageo (India),-7.96
GujaratStatePetronet,-7.93
Rane Engine Valve Lt,-7.91
Mahamaya Steel Indus,-7.89
Orient Paper,-7.88
Palred Technologies,-7.86
Salona Cotspin L,-7.82
Transwarranty Financ,-7.81
NoidaTollBridge,-7.79
Castrol India,-7.76
20 Microns Ltd.,-7.72
Hindustan Media Vent,-7.72
Just Dial,-7.7
Clariant Chemicals (,-7.65
Arvind Ltd.,-7.56
Manaksia Steels,-7.55
Swelect Energy Syste,-7.48
Finolex Industri,-7.48
Madras Fertilize,-7.47
Monnet Ispat & Energ,-7.47
Hisar Metal Indu,-7.44
Maithan Alloys Ltd.,-7.43
United Breweries Ltd,-7.41
3i Infotech,-7.41
Vaishali Pharma,-7.38
Morepen Labs.Lt,-7.38
AMJ Land Holdings L,-7.36
VRL Logistics Ltd.,-7.32
Wendt India,-7.31
DB (International),-7.28
