Company,% Change
Eimco Elecon Ind,+ 0.73
Huhtamaki PPL,+ 0.72
Asian Paints Ltd.,+ 0.71
ABB Power Products,+ 0.70
Pritish Nandy Comm.,+ 0.69
Sanofi India,+ 0.68
Sarda Energy & Miner,+ 0.68
Symphony,+ 0.66
Glenmark Pharma,+ 0.65
GSS Infotech,+ 0.64
JSW Energy Ltd.,+ 0.64
Jindal Saw,+ 0.61
L&T,+ 0.59
Chembond Chemica,+ 0.58
Oil India Ltd.,+ 0.57
Honda India Power,+ 0.57
Cerebra Integrat,+ 0.55
Marksans Pharma,+ 0.54
Security and Intelli,+ 0.54
NIIT Ltd.,+ 0.53
Standard Indust,+ 0.52
Tata Steel Long Prod,+ 0.50
BayerCropscience,+ 0.50
L&T Finance Holdings,+ 0.48
Balrampur Chini,+ 0.47
Hind. Zinc,+ 0.46
Pfizer Ltd.,+ 0.45
Sequent Scientific,+ 0.44
Blue Star,+ 0.42
Munjal Auto Industr.,+ 0.41
Adani Ports & Speci,+ 0.40
WABCO India,+ 0.39
J B Chemicals & Phar,+ 0.38
SBI Life Insurance,+ 0.38
Sakar Healthcare,+ 0.36
Solara Active Pharma,+ 0.35
Vipul Ltd.,+ 0.35
JK Paper Ltd.,+ 0.35
Kapston Facilities,+ 0.34
Gokul Agro Resources,+ 0.33
Hero MotoCorp,+ 0.32
Fine Organic Indus,+ 0.32
Tide Water Oil,+ 0.31
Deccan Cements,+ 0.31
Orissa Minerals Deve,+ 0.31
PNB Gilts Ltd.,+ 0.27
Ponni Sugars (Erode),+ 0.27
Pokarna Ltd.,+ 0.26
Nilkamal Ltd.,+ 0.26
Mahi. & Mahi,+ 0.25
Shemaroo Entertainme,+ 0.24
SBI Cards and Pay,+ 0.23
Kirloskar Oil Engine,+ 0.23
TCI Ltd.,+ 0.23
Asian Granito India,+ 0.23
NLC India L,+ 0.21
Suven Pharmaceutical,+ 0.20
ICRA Ltd.,+ 0.20
Automotive Axles,+ 0.19
Kaveri Seed Company,+ 0.13
Astron Paper & Board,+ 0.13
Berger Paints I,+ 0.11
Shalimar Paints,+ 0.08
HDFC,+ 0.08
Great Eastern,+ 0.07
Wonderla Holidays Lt,+ 0.04
