Company,% Change
Ujjivan SmallFinance,-4.81
Sumitomo Chemical,-4.81
ITC Ltd.,-4.79
D B Realty Ltd.,-4.76
VST Industries,-4.76
Gokul Refoils & Solv,-4.75
Cantabil Retail Indi,-4.75
Rasandik Engg.,-4.74
IDBI Bank Ltd.,-4.71
JBF Industries,-4.66
Decipher Labs,-4.65
Andhra Paper,-4.59
Gravita India Ltd.,-4.54
Apollo Micro Systems,-4.53
Deccan Gold Mines,-4.52
Madras Fertilize,-4.5
BF Investment Ltd.,-4.49
Mallcom (India) L,-4.49
Comfort Intech,-4.43
United Credit Li,-4.42
Maximaa Systems,-4.41
N R Agarwal Indu,-4.41
Manomay Tex India,-4.39
GujaratStatePetronet,-4.39
Balkrishna Ind.,-4.37
Nectar Lifesciences,-4.35
Hind. NationalGl,-4.33
Jeevan Scientific,-4.31
BayerCropscience,-4.28
Opto Circuits India,-4.26
Cybermt Infotek,-4.24
Indo Borax,-4.22
IRIS Business Servic,-4.21
GRP L,-4.15
Bajaj Holdings & Inv,-4.14
Wheels India Ltd.,-4.11
Jiya Eco Products Lt,-4.09
Bhagiradha Chemi,-4.03
Akar Auto Industries,-4.0
INEOS Styrolution,-3.95
MTNL,-3.95
Bombay Burmah,-3.93
SBI Life Insurance,-3.92
Hindustan Aeronautic,-3.92
Hindustan Unilever L,-3.9
Goenka Diamond & Jew,-3.9
AVT Natural Prod,-3.87
Super Tex Indust,-3.86
Gokul Agro Resources,-3.86
Patel Engg. Ltd.,-3.85
Brawn Biotech,-3.85
ADF Foods Ltd.,-3.85
Colinz Laborator,-3.81
Haryana Leather,-3.81
PetronetLNG,-3.8
Reliance Power L,-3.8
Bajaj Auto Ltd.,-3.75
Omaxe Ltd.,-3.75
Radix Industries,-3.71
Bronze Infra Tech Lt,-3.7
K&R Rail Engineering,-3.69
Bharat Petroleum,-3.68
LT Foods Ltd.,-3.68
Bodal Chemicals,-3.66
Swastika Investmart,-3.63
Ultracab (India) Ltd,-3.63
Future Enterprises,-3.62
Beekay Steel Indus,-3.59
Maha. Scooters,-3.53
Greaves Cotton,-3.53
Cadila Healthcar,-3.52
Bhagyanagar Properti,-3.51
Loyal Equipments Ltd,-3.5
Guj. Sidhee Ceme,-3.49
Eco Recycling,-3.47
Star Cement,-3.46
Surat Textile Mi,-3.44
Fortis Healthcare,-3.43
UCO Bank,-3.41
Times Guaranty,-3.41
Welcast Steels,-3.41
Olympia Inds.,-3.4
IM+ Capitals,-3.38
NIIT Technologies,-3.37
Kirloskar Industries,-3.34
Shriram A M C,-3.31
Infosys,-3.31
JR Foods Ltd,-3.27
Transformers & Recti,-3.27
Mangalore Chem.,-3.27
Dr. Lal Pathlabs Ltd,-3.27
Malu Paper Mills,-3.25
Peninsula Land L,-3.25
Sainik Finance & Ind,-3.24
Sanmit Infra,-3.23
Reliance Inds.,-3.23
Bil Energy Systems L,-3.19
Reliance Ind.Inf,-3.19
Kuantum Papers,-3.18
Nestle India,-3.16
JaiprakashAssociates,-3.15
Prabhat Technologies,-3.14
Dynemic Products,-3.13
MCX,-3.12
Seya Industries,-3.09
Raj Television Netwo,-3.09
BPL Ltd.,-3.05
PI Industries,-3.05
Sugal & Damani Share,-3.04
Easun Reyrolle L,-3.03
Intl. Coveyors,-3.03
SinclairsHotels,-3.02
Orient Paper,-3.01
United Spirits,-2.99
Wockhardt Ltd.,-2.96
Orbit Exports Li,-2.95
Focus Suites Solutio,-2.94
Pioneer Distille,-2.92
Rainbow Denim Ltd.,-2.91
Indian Oil Corp,-2.89
Voltamp Transformers,-2.86
Dalmia Bharat L,-2.84
Sun Pharma Advanced,-2.83
7NR Retail Ltd.,-2.83
India Cements Lt,-2.82
Bajaj Healthcare,-2.81
Reliance Infrastruct,-2.81
Geojit Financial,-2.76
20 Microns Ltd.,-2.74
Page Industries Ltd.,-2.74
Sagarsoft (India),-2.73
The Mandhana Retail,-2.72
Nelco Ltd,-2.72
Sakthi Sugars,-2.72
Premier Explos.,-2.69
Honda India Power,-2.67
Signet Industries,-2.66
Nagarjuna Fertilizer,-2.65
Natraj Proteins,-2.63
Bajaj Finserv Ltd.,-2.63
Matrimony.com,-2.62
Sun Pharma.,-2.57
CRP Risk Management,-2.55
EIH Associated,-2.54
Choice Internati,-2.54
Donear Industrie,-2.53
Future Supply Chain,-2.49
U Y Fincorp,-2.49
Synthiko Foils,-2.44
Sahyadri Industries,-2.42
Poddar Housing,-2.42
ITL Industries,-2.4
Affordable Robotic,-2.4
Gandhi Special,-2.39
Bajaj HindusthanSuga,-2.39
Loyal Textiles M,-2.39
Kisan Mouldings,-2.37
The New India Assur,-2.37
Polylink Polymer,-2.37
RPG Life Sciences,-2.32
Venus Remedies L,-2.32
P&G Hygiene&Health,-2.31
MT Educare Ltd.,-2.3
Velan Hotels Lim,-2.3
Century Extru.,-2.26
Vidhi Specialty Food,-2.24
Rajesh Exports L,-2.23
ACCEL L,-2.23
Kothari Ferment.,-2.2
Emami Paper Mill,-2.19
Greenlam Industries,-2.19
Starlite Compone,-2.14
Sadhana Nitro,-2.13
Natco Pharma,-2.12
Hind. Adhesives,-2.09
Narbada Gems & Jewel,-2.08
UltraTech Cement,-2.07
Autoline Industries,-2.05
Sundaram Fasten.,-2.04
Vikas WSP,-2.02
Eveready Industr,-2.02
Central Bank,-1.99
IL&FS Transportation,-1.99
Apollo Tyres,-1.98
Norris Medicines,-1.96
Archidply Industries,-1.94
Godavari Drugs,-1.93
Delta Manufacturing,-1.93
Subex Ltd.,-1.91
Unichem Labs,-1.91
HCL Infosystem,-1.91
Niraj Cement Structu,-1.9
EID Parry,-1.88
MphasiS Ltd.,-1.82
ICICI Securities,-1.78
Cupid Ltd.,-1.77
Sasken Technologies,-1.75
RTS Power Corpor,-1.74
PTL Enterprises,-1.73
Oriental Veneer,-1.71
Amrutanjan Health Ca,-1.71
Foods & Inns,-1.7
Ritesh Properties &,-1.69
Jyothy Labs,-1.69
HB Stockholding,-1.69
Srikalahasthi Pipes,-1.64
Kirloskar Ferrou,-1.61
Tiger Logistics (Ind,-1.61
Integra Engineering,-1.61
Ujaas Energy,-1.61
GTPL Hathway,-1.58
TTK Healthcare Ltd.,-1.53
Nitin Fire Protectio,-1.52
Sundaram Multi P,-1.52
L&T Technology Serv,-1.51
Gowra Leasing &,-1.49
Hind. Copper,-1.49
Federal Bank,-1.47
Mangalam Cement,-1.46
Ingersoll Rand,-1.46
Williamson Finan,-1.46
Vaibhav Global,-1.44
Elegant Marbles,-1.44
Reliance Home Fin,-1.44
Starteck Finance,-1.43
Renaissance Global,-1.42
Dhanada Corporation,-1.41
Nitin Spinners,-1.39
IIFL Securities,-1.36
Fraser & Company,-1.32
Castrol India,-1.32
Lyka Labs,-1.29
Seamec Ltd.,-1.28
Luharuka Media & Inf,-1.27
SSPN Finance L,-1.25
Modern Dairies,-1.25
Indian Overseas,-1.25
RBL Bank,-1.23
Dhanuka Agritech Ltd,-1.19
Grand Foundry,-1.18
Oberoi Realty,-1.17
Torrent Power Ltd.,-1.17
Nihar Info Global Lt,-1.14
The Indian Wood Prod,-1.13
Bombay Dyeing,-1.12
Asso. Alcohols,-1.11
Suncare Traders,-1.11
Brady & Morris E,-1.11
Jubilant Life Scienc,-1.11
BGR Energy Systems,-1.1
MMTC Ltd.,-1.07
Pix Transmission,-1.06
Shree Digvijay,-1.05
Scanpoint Geomatics,-1.05
Veto Switchgears & C,-1.05
Alkali Metals Ltd.,-1.04
Dynamic Cables,-1.04
Jet Airways,-1.02
Garden Reach Ship,-0.99
Zensar Technologies,-0.99
Polyplex Corpn.,-0.98
Suven Pharmaceutical,-0.96
Tasty Bite,-0.9
ONGC,-0.89
Ad-Manum Finance,-0.88
Delta Corp Ltd.,-0.88
Choksi Lab. Ltd,-0.85
Borosil L,-0.84
AksharChem (India),-0.8
Genus Paper & Boards,-0.79
Ceat Ltd.,-0.79
Fineotex Chemical Lt,-0.78
Andhra Cement,-0.76
Kilitch Drugs(I),-0.73
Bombay Oxygen Invest,-0.72
Bank of India,-0.72
Veer Energy & Infras,-0.71
Sea TV Network Ltd.,-0.69
Cochin Shipyard,-0.68
Sacheta Metals L,-0.67
Coastal Corporation,-0.67
W H Brady & Co.,-0.66
Alchemist Corporatio,-0.62
Lippi Systems Li,-0.59
Econo Trade (India),-0.59
Calcom Vision,-0.57
Centum Electronics L,-0.57
Lumax Auto Technolog,-0.56
Nahar Indust.Ent,-0.56
Cipla,-0.54
Reliance Capital,-0.53
Oil India Ltd.,-0.53
Union Bank of In,-0.51
Power Grid Corpo,-0.45
HDFC,-0.45
Wipro Ltd,-0.45
CHD Chemicals Ltd.,-0.42
Star Paper Mills,-0.41
BSL Ltd,-0.4
GP Petroleums,-0.36
Gallantt Ispat Ltd.,-0.36
Swasti Vinayaka Art,-0.34
Shankara Building Pr,-0.3
PTC India Financial,-0.28
Indiabulls Housing F,-0.28
Shree Steel Wire,-0.27
Tata Consultancy,-0.27
Lakshmi Vilas Ba,-0.26
Responsive Industrie,-0.25
Reliable Ventures In,-0.22
Syngene Internationa,-0.2
WABCO India,-0.19
SMS Pharmaceuticals,-0.18
Persistent Systems,-0.15
Mangalam Timber,-0.13
Vardhman Polytex,-0.13
Ozone World,-0.12
Varun Beverages Ltd.,-0.12
Godfrey Phillips Ind,-0.09
Blue Pearl Texspin,-0.09
Samkrg Pistons & Rin,-0.04
Symphony,-0.03
Ramco Industries,-0.03
PDS Multi. Fashions,-0.02
Berger Paints I,-0.01
