Company,% Change
Apollo Tyres,-0.36
Atul Ltd.,-0.36
Mastek Li,-0.36
Spencer's Retail,-0.36
Sun TV Network Ltd.,-0.36
Nucleus Software,-0.35
Prozone Intu Propert,-0.35
Bajaj Electricals,-0.34
INEOS Styrolution,-0.34
P&G Health,-0.34
Guj. Sidhee Ceme,-0.33
Hind. Composites,-0.33
Kakatiya Cement Suga,-0.33
Praj Industries,-0.32
Goa Carbons,-0.31
NLC India L,-0.31
Sundaram Finance Hol,-0.31
Ador Welding Ltd.,-0.3
ICICI Bank,-0.3
La Opala RG Ltd.,-0.3
Abbott India Ltd.,-0.28
Aditya Birla Money L,-0.28
Anjani Portland,-0.28
Guj. Industries,-0.28
Madras Fertilize,-0.28
Steel Authority,-0.28
Tamilnadu Petroprod,-0.28
Arman Financial Serv,-0.27
Manappuram Finance,-0.27
Paisalo Digital L,-0.27
Tasty Bite,-0.27
Just Dial,-0.26
Satia Industries,-0.26
Take Solutions Ltd.,-0.26
SBI Life Insurance,-0.25
SPIC,-0.25
Supreme Petroche,-0.25
G M Breweries Ltd.,-0.24
Harita Seating Syst.,-0.23
Ingersoll Rand,-0.23
Subros Ltd.,-0.23
Vaishali Pharma,-0.23
Bajaj Finserv Ltd.,-0.22
Bosch Ltd.,-0.22
GIC Housing Fi,-0.22
Himadri Speciality,-0.22
Minda Corporation,-0.22
Solar Industries Ind,-0.22
Accelya Solutions In,-0.21
Amrutanjan Health Ca,-0.21
Brigade Enterprises,-0.21
Dalmia Bharat Sugar,-0.21
Deepak Nitrite,-0.21
NBCC (India),-0.21
Rashtriya Chemicals,-0.21
Dhunseri Ventures,-0.2
Jump Networks,-0.2
McDowell Holdings Lt,-0.2
Alembic Ltd.,-0.19
Exide Inds.,-0.19
Archidply Industries,-0.18
PSP Projects,-0.18
Star Cement,-0.18
Thirumalai Chem.,-0.18
V-Guard Ind.Ltd.,-0.18
Dhampur Sugar,-0.16
Canara Bank,-0.15
Cords Cable Industri,-0.15
Cummins India Lt,-0.15
Fortis Healthcare,-0.15
KSB Ltd,-0.15
Mold-Tek Technologi.,-0.15
Trigyn Technolog,-0.15
T Nadu Newsprint,-0.13
eClerx Services,-0.13
Nelco Ltd,-0.12
Veto Switchgears & C,-0.12
Inox Leisure,-0.1
Jash Engineering,-0.1
Sandhar Technologies,-0.1
Asian Hotels (North),-0.09
NOCIL Ltd.,-0.09
Avenue Supermarts,-0.08
CCL Products India,-0.08
CSB Bank,-0.08
Engineers India,-0.08
Power Grid Corpo,-0.08
Rane Holdings Ltd.,-0.08
Shalimar Paints,-0.08
Bodal Chemicals,-0.07
Guj. Alkalie & C,-0.06
3M India Ltd.,-0.05
Birla Corporation Lt,-0.05
Bharat Bijlee,-0.04
Chemfab Alkalis,-0.04
Surya Roshni Ltd,-0.04
Godfrey Phillips Ind,-0.03
Rajesh Exports L,-0.01
