Company,% Change
Syncom Healthcare Lt,-7.3
Eldeco Housing &,-7.29
West Coast Paper,-7.29
Repco Home Finance L,-7.29
Ballarpur Ind.,-7.28
Pazel International,-7.27
Malu Paper Mills,-7.27
Kirloskar Bros.,-7.25
Ansal Buildwell,-7.25
Nucleus Software,-7.2
Bharat Heavy Ele,-7.2
Kothari Ferment.,-7.2
Karnataka Bank,-7.19
IST Ltd.,-7.18
Banswara Syntex,-7.18
Rungta Irrigatio,-7.18
Kennametal India,-7.18
Unitech Ltd.,-7.18
Ravi Kumar Distiller,-7.18
State Trading,-7.18
Dilip Buildcon Ltd.,-7.18
Birla Cable,-7.17
HEG Ltd.,-7.17
Vas Infrastructure L,-7.17
Flex Foods,-7.15
Sundaram Fasten.,-7.15
JSW Holdings,-7.15
Shalimar Paints,-7.15
Sujana Universal Ind,-7.14
NCC,-7.14
Lokesh Machines,-7.14
NCL Research,-7.14
Star Paper Mills,-7.14
Cox & Kings Fin,-7.14
Sharda Cropchem,-7.13
Visaka Indus.,-7.12
Saint-Gobain Sekurit,-7.11
Spandana Sphoorty Fi,-7.1
Kiri Industries,-7.1
Healthcare Global En,-7.08
Nilkamal Ltd.,-7.08
Umang Dairies Ltd.,-7.08
GTPL Hathway,-7.08
Lykis L,-7.08
Indian Overseas,-7.07
India Glycols,-7.06
HPL Electric & Power,-7.05
SRG Housing Finance,-7.05
Prajay Engineers,-7.03
Carborundum Uni.,-7.02
Muthoot Finance,-7.0
Sri Rama. Mills (Coi,-7.0
Greaves Cotton,-6.99
Suyog Telematics,-6.99
JBM Auto,-6.98
Shree Rama Newsprint,-6.95
GujaratStatePetronet,-6.95
Huhtamaki PPL,-6.94
N R Agarwal Indu,-6.93
Siyaram Silk,-6.93
20 Microns Ltd.,-6.93
Manaksia Ltd.,-6.92
Mukta Agriculture,-6.9
C & C Constructions,-6.9
McDowell Holdings Lt,-6.88
J Kumar Infraproject,-6.88
DHP India Ltd.,-6.88
Cox & Kings L,-6.88
Urja Global,-6.87
Bajaj Holdings & Inv,-6.87
Surya Roshni Ltd,-6.86
IL&FS Engineering,-6.86
Hikal Ltd.,-6.85
Mirza International,-6.84
Hindustan Media Vent,-6.83
Nesco Ltd.,-6.83
Seya Industries,-6.83
Talbros Auto.,-6.82
Aurobindo Pharma,-6.81
Vikas WSP,-6.81
AGC Networks,-6.8
La Opala RG Ltd.,-6.79
Ishan Dyes & Che,-6.78
Pennar Industrie,-6.78
Shilp Gravures L,-6.78
Xpro India Ltd.,-6.78
General Ins. Corp.,-6.77
Krypton Ind.,-6.75
IIFL Finance,-6.75
Yash Chemex Ltd.,-6.75
Munjal Auto Industr.,-6.74
Samkrg Pistons & Rin,-6.74
Indian Toners,-6.72
Vijay Solvex Ltd,-6.72
Lemon Tree Hotels,-6.68
Mohota Industries L,-6.67
CSL Finance,-6.67
KSK Energy Ventures,-6.67
Minda Corporation,-6.66
ICICI Pru Life,-6.66
Apollo TriCoat Tubes,-6.66
Thangamayil Jeweller,-6.66
Porwal Auto Comp,-6.65
Mitsu Chem Plast,-6.65
Inditrade Capital,-6.65
CHL Ltd.,-6.65
Sterling Tools L,-6.64
RSWM Ltd.,-6.62
VRL Logistics Ltd.,-6.62
Sarda Energy & Miner,-6.61
TRF Ltd,-6.61
Munjal Showa Ltd,-6.6
NTPC,-6.6
Kalyani Investment,-6.6
Aavas Financiers,-6.58
Ravindra Energy Ltd.,-6.58
Welspun Corp,-6.58
Dhanuka Agritech Ltd,-6.57
Capital Trade Links,-6.56
Reliance Chemote,-6.55
Kalpataru Power,-6.55
Kanoria Chemical,-6.55
India Cements Lt,-6.54
Amrutanjan Health Ca,-6.54
Brawn Biotech,-6.54
Rane (Madras),-6.52
Selan Exploratio,-6.51
Keltech Energies,-6.5
Parle Industries,-6.5
Lakshmi Vilas Ba,-6.49
MEP Infrastructure,-6.49
Foseco India Lim,-6.48
Edelweiss Fin. Ser,-6.47
Kolte-Patil Develope,-6.46
DCB Bank,-6.46
Dolat Investment,-6.46
KRBL Ltd.,-6.45
Raymond Ltd,-6.45
Dollar Industries,-6.45
JBF Industries,-6.44
T T Ltd.,-6.43
Navkar Corporation L,-6.42
Sharda Ispat Ltd,-6.41
Pokarna Ltd.,-6.41
Saregama India Ltd.,-6.4
Modi Rubber,-6.38
Union Bank of In,-6.38
Oceanic Foods,-6.38
Maan Aluminium Ltd.,-6.37
KEI Industries,-6.36
Kerala Ayurveda Ltd.,-6.35
Pix Transmission,-6.35
National Fittings,-6.35
Tasty Bite,-6.34
Indian Hotels Co,-6.34
Apollo Pipes,-6.34
Reliance Com,-6.32
Sagarsoft (India),-6.32
Madhav Infra Project,-6.31
Akar Auto Industries,-6.31
Jagsonpal Pharma,-6.31
Igarashi Motors Indi,-6.31
Birla Corporation Lt,-6.3
ACC,-6.3
Kiran Vyapar,-6.29
Gabriel India,-6.26
EIH Ltd.,-6.26
Shreyas Shipping & L,-6.26
City Union Bank,-6.25
Hazoor Multi Project,-6.25
Vista Pharmaceut,-6.24
Ansal Properties & I,-6.24
Tin Plate Co.,-6.23
Cholamandalam Invest,-6.23
IndusInd Bank,-6.23
Ador Welding Ltd.,-6.22
GayatriSugars,-6.22
Orbit Exports Li,-6.21
Vinati Organics,-6.2
Shree Digvijay,-6.19
Vertex Securitie,-6.19
IRIS Business Servic,-6.19
TVS Electronics,-6.18
MT Educare Ltd.,-6.18
Cenlub Industrie,-6.17
Navin Fluorine Inter,-6.17
GTL Infrastructure,-6.17
Danlaw Technologies,-6.17
Modern Dairies,-6.16
Nahar Capital & Fina,-6.16
Chartered Logistics,-6.15
DiGiSPICE Technologi,-6.15
Johnson Controls-Hit,-6.15
Prestige Estates Pro,-6.15
Excel Industries,-6.15
Century Enka,-6.15
ITL Industries,-6.15
Arex Industries Ltd.,-6.12
Electrotherm (In,-6.12
Ambuja Cements Ltd.,-6.1
Guj. Mineral Dev,-6.1
Linc Pen & Plast,-6.1
Shree Cement,-6.07
Sankhya Info,-6.05
Amrapali Inds.,-6.05
Alembic Pharmaceutic,-6.05
Greenpanel Industrie,-6.04
BGR Energy Systems,-6.03
Orient Tradelink,-6.03
Beekay Steel Indus,-6.03
Texmaco Infrastructu,-6.02
PDS Multi. Fashions,-6.02
PC Jeweller L,-6.01
Orient Cement Ltd.,-6.0
Garden Reach Ship,-6.0
Liberty Shoes Li,-6.0
Rupa & Company L,-6.0
Lee Nee Software,-6.0
Magellanic Cloud,-5.99
Kotak Mahindra Bank,-5.98
LIC Housing Fi,-5.98
Bajaj Consumer Care,-5.97
HDFC,-5.97
Super Spinning,-5.96
Autolite (I),-5.95
Nelco Ltd,-5.95
Surat Textile Mi,-5.95
Parag Milk Foods,-5.93
Vardhman Special St,-5.92
Zuari Global,-5.92
The Hi-Tech Gears,-5.92
Shoppers Stop,-5.92
3M India Ltd.,-5.91
GE Power India,-5.91
Dhampur Sugar,-5.91
Wheels India Ltd.,-5.91
Sanghvi Forging & En,-5.91
Godfrey Phillips Ind,-5.89
Multibase India Ltd.,-5.89
Chalet Hotels L,-5.88
CNI Research Ltd.,-5.88
Solar Industries Ind,-5.86
Tyche Industries,-5.86
Almondz Global Secur,-5.86
Grauer & Weil,-5.84
Mangalore Refine,-5.83
Kamdhenu Ispat,-5.82
KCP Ltd.,-5.82
DCM Shriram,-5.82
Balkrishna Ind.,-5.81
Power Finance Co,-5.81
Hind. Petrol,-5.8
IDFC First Bank,-5.79
BF Utilities Ltd.,-5.79
Eros International M,-5.77
Action Construction,-5.76
Andhra Paper,-5.76
The Byke Hospitality,-5.75
Kaya L,-5.75
Bampsl Securitie,-5.75
Chemfab Alkalis,-5.74
NHPC,-5.74
Dhunseri Tea & Indus,-5.73
Taj GVK Hotels & Res,-5.72
Avonmore Capital,-5.72
IIFL Wealth Manage,-5.71
Symphony,-5.71
Delton Cables,-5.71
Kalyani Steel,-5.71
Chandra Prabhu I,-5.7
Indraprastha Med,-5.69
Borosil Renewables,-5.68
Nahar Indust.Ent,-5.68
Kirloskar Elect,-5.68
Shipping Corpn.,-5.68
Heidelberg Cement In,-5.66
Rapicut Carbides,-5.66
Ceat Ltd.,-5.65
HBL Power Systems Lt,-5.64
SITI Networks,-5.64
TTK Healthcare Ltd.,-5.64
CIL Securities L,-5.63
GP Petroleums,-5.63
CDG Petchem,-5.63
Inter Globe Fin.,-5.62
Capital India Fin,-5.62
PetronetLNG,-5.62
Vidhi Specialty Food,-5.62
GPT Infraprojects,-5.61
Onward Technolog,-5.6
MMTC Ltd.,-5.6
Steel Cast,-5.59
Precision Wires,-5.58
AtlasCycles(Haryana),-5.57
Century Extru.,-5.57
Syncom Formul.,-5.56
Concord Drugs,-5.56
Roto Pumps Ltd,-5.54
Jindal Drilling,-5.54
Astra Microwave,-5.53
Mishra Dhatu Nig,-5.52
Linde India,-5.52
Nelcast Ltd.,-5.51
Srikalahasthi Pipes,-5.51
Shiva Mills,-5.5
SAL Automotive,-5.5
Gokul Agro Resources,-5.5
A2Z Infra Engineer,-5.5
Arihant Superstructu,-5.49
Quick Heal Technolog,-5.49
Nath Industries,-5.49
Refex Industries,-5.48
Ind. Inv Trust,-5.47
Vishwaraj Sugar Ind,-5.47
Guj. Sidhee Ceme,-5.47
Saksoft Ltd.,-5.47
Godawari Power & Isp,-5.46
Future Supply Chain,-5.46
Aarti Surfactants,-5.46
Tanla Solutions,-5.45
Star Cement,-5.45
SJVN Ltd.,-5.44
