Company,% Change
Tata Elxsi Ltd.,+1.09
Tasty Dairy Speciali,+1.09
Maruti Infrastru,+1.08
Scanpoint Geomatics,+1.08
High Energy Bat.,+1.07
Amara Raja Batt.,+1.07
The Mandhana Retail,+1.05
B L Kashyap & Sons,+1.05
Divya Shakthi Gr,+1.05
SBEC Sugar Lt,+1.04
Punjab Chemicals and,+1.04
Bhilwara Technical,+1.04
Goldiam Internat,+1.04
Fundviser Capital,+1.00
Cambridge Technology,+1.00
MSR India,+0.99
Magnum Ventures Ltd.,+0.98
Bhagyanagar Properti,+0.92
ACE Software E,+0.91
Nalin Lease Fina,+0.88
Pearl Polymers,+0.84
Goenka Business,+0.83
Grasim Inds.,+0.82
Ipca Laboratorie,+0.82
Superior Finlease,+0.80
Nestle India,+0.79
Sterling and Wilson,+0.78
Shiva Texyarn Ltd.,+0.78
Amber Enterprises,+0.76
Hexaware Technologie,+0.75
Capri Global Capital,+0.74
Alkyl Amines Che,+0.73
Subros Ltd.,+0.72
Modern Steels,+0.70
Osiajee Texfab,+0.69
Swasti Vinayaka Art,+0.69
Burnpur Cement Ltd.,+0.68
Bata India,+0.66
Indbank Merchant,+0.64
Olympia Inds.,+0.63
Gennex Laboratories,+0.62
Sportking India,+0.60
EID Parry,+0.59
Adani Gas,+0.59
Krebs Biochemicals &,+0.58
Schaeffler India,+0.58
Kewal Kiran Clothing,+0.57
Sunteck Realty Ltd.,+0.57
Bharat Road Network,+0.56
Responsive Industrie,+0.56
JSW Steel,+0.55
Dhanalaxmi Roto,+0.54
Jump Networks,+0.53
Frontier Springs,+0.53
Gulshan Polyols Ltd.,+0.52
Pfizer Ltd.,+0.50
PG Electroplast Ltd.,+0.50
Switching Tech.,+0.49
Deccan Gold Mines,+0.46
Gujarat Poly Electro,+0.44
Alufluoride Ltd.,+0.43
HDFC Bank,+0.43
Fortis Healthcare,+0.41
Sequent Scientific,+0.41
ICICI Lombard Gen.,+0.38
KG Petrochem Ltd.,+0.38
Genus Power Infrastr,+0.38
Athena Global Techno,+0.36
GEE Ltd.,+0.36
Hisar Metal Indu,+0.35
Lakshmi Auto Lm.,+0.32
Siemens Ltd.,+0.28
Automotive Axles,+0.27
Infibeam Avenues,+0.26
Ashirwad Steels,+0.25
Titan Securities,+0.25
Mahamaya Steel Indus,+0.22
PSP Projects,+0.22
OK Play India Ltd.,+0.22
Saboo Sodium Ch,+0.21
King Infra Ventures,+0.20
Nitin Castings,+0.19
Mahi. & Mahi,+0.19
