Company,% Change
Diamines & Chem.,+19.67
KPR Mill Ltd.,+19.66
Jagan Lamps,+19.55
ITD Cementation Indi,+19.53
Gennex Laboratories,+19.51
Aditya Birla Money L,+19.50
CFSL L,+19.48
Revathi Equipment Lt,+19.42
Manaksia Ltd.,+19.40
Arvind Fashions,+19.38
Fiberweb (India),+19.37
Atul Ltd.,+19.32
Dwarikesh Sugar,+19.29
Rajratan Global Wire,+19.22
Diana Tea Compan,+19.15
Ganesh Housing,+19.08
Rexnord Electron,+19.07
Bartronics India Ltd,+18.97
Maan Aluminium Ltd.,+18.93
D-Link (India),+18.87
J Kumar Infraproject,+18.85
Dhunseri Ventures,+18.80
Magma Fincorp Ltd.,+18.79
Balrampur Chini,+18.70
Abhishek Infraventur,+18.62
A2Z Infra Engineer,+18.57
Himadri Speciality,+18.55
Finkurve Financial S,+18.53
RS Software (India),+18.45
SE Power,+18.44
KEC International Lt,+18.43
Tata Power Co.,+18.43
Mukand Engineers,+18.42
Pioneer Investco,+18.40
Titan Securities,+18.38
Praxis Home Retail L,+18.36
Bajaj Steel Ind.,+18.35
Kanpur Plasti.,+18.35
Mukta Arts Ltd.,+18.28
Piccadily Agro I,+18.27
Intrasoft Technologi,+18.26
Foseco India Lim,+18.16
Jindal Stainless,+18.15
Multibase India Ltd.,+18.14
Bannari Amman Spinni,+18.11
Duroply lndustries L,+18.10
Celebrity Fashions L,+17.97
Gokaldas Exports,+17.93
AstraZeneca Pharma I,+17.92
STL Global Ltd.,+17.90
Hind. Food,+17.89
Centrum Capital,+17.89
Force Motors,+17.82
Mewar Hi-Tech Engine,+17.80
Garnet Construct,+17.78
Sterlite Technologie,+17.77
Jindal Hotels,+17.76
Pearl Global Industr,+17.70
Birlasoft,+17.68
Ashnoor Textile,+17.67
DCM Ltd.,+17.66
OCL Iron & Steel,+17.65
Burnpur Cement Ltd.,+17.60
Link Pharma Chem,+17.53
Sharda Motor Ind,+17.52
Oswal Green Tech,+17.51
Sri Krishna Construc,+17.49
JSW Steel,+17.48
Gateway Distriparks,+17.48
Goblin India,+17.45
Scooters India,+17.43
Techno Electric&Eng,+17.43
NBCC (India),+17.42
SORIL Infra Resource,+17.42
Man Industries I,+17.42
Brigade Enterprises,+17.38
Dynacons Systems,+17.32
Amal Ltd.,+17.27
Lemon Tree Hotels,+17.19
United Breweries Ltd,+17.16
Greenpanel Industrie,+17.09
RSWM Ltd.,+17.01
Hikal Ltd.,+16.96
Majesco L,+16.94
Vintron Informat,+16.92
Inani Marbles &,+16.88
Bang Overseas Ltd.,+16.86
Sunil Agro Foods,+16.84
National Fittings,+16.83
Deccan Cements,+16.73
Nila Infrastructures,+16.70
Rishiroop L,+16.70
Keerthi Industries L,+16.69
Munjal Showa Ltd,+16.62
Anjani Synthetic,+16.59
Supreme Petroche,+16.58
Nava Bharat Ventures,+16.52
IZMO,+16.51
Mayur Uniquoters,+16.49
Resonance Spec.,+16.49
Keltech Energies,+16.45
Menon Pistons Li,+16.43
Hindusthan Urban Inf,+16.41
Universal Cables,+16.38
Tata Elxsi Ltd.,+16.31
Ind. Inv Trust,+16.25
Allied Digital Servi,+16.18
Gujarat Natural Res,+16.17
Aries Agro Ltd.,+16.17
Indiabulls Real Esta,+16.16
Spicejet Ltd.,+16.13
AGI Infra Ltd.,+16.13
Dhabriya Polywood,+16.12
DCW Ltd.,+16.12
Somany Home Innovat,+16.08
Music Broadcast,+16.06
Mangal Credit & Fin,+16.03
Roto Pumps Ltd,+16.01
Divi's Lab,+16.01
Kimia Biosciences,+16.00
B L Kashyap & Sons,+15.99
Nalwa Sons Investmen,+15.97
Firstsource Solution,+15.96
Orient Refractories,+15.95
Astral Poly Technik,+15.92
Eimco Elecon Ind,+15.89
Adani Gas,+15.82
Ganesha Ecosphere,+15.82
HLV L,+15.81
RCI Industries & Tec,+15.77
MEP Infrastructure,+15.76
Mahindra Lifespace D,+15.76
TV Today Network Ltd,+15.71
Prima Agro Ltd.,+15.67
WEP Solutions,+15.62
LG Balakrishnan&Bros,+15.60
Laurus Labs,+15.58
Phillips Carbon,+15.57
Salzer Electr.,+15.55
Newgen Software Tech,+15.48
AXISCADES Engineer,+15.46
Cranex Ltd,+15.45
Ucal Fuel System,+15.44
Parag Milk Foods,+15.43
Poona Dal & Oil,+15.43
Eros International M,+15.40
Praj Industries,+15.40
Munjal Auto Industr.,+15.36
Royal Orchid Hotels,+15.35
Uttam Sugar Mills,+15.35
Moneyboxx Finance,+15.30
India Infraspace,+15.24
Bajaj Electricals,+15.24
Triveni Turbine,+15.23
Solitaire Machin,+15.21
JTEKT India,+15.20
Ind Bank Housing,+15.18
Authum Investment,+15.15
The Investment Trust,+15.11
Ruchira Papers Ltd.,+15.11
MSP Steel & Power Lt,+15.06
HFCL,+15.03
Tyche Industries,+15.02
Alexander Stamps,+14.92
Garware Tech. Fibres,+14.92
Blue Dart Expres,+14.86
PPAP Automotive,+14.82
Sobha,+14.81
Kirloskar Elect,+14.79
Man Infraconstructio,+14.71
Eldeco Housing &,+14.69
Pitti Engineering,+14.62
DQ Entertainment (In,+14.62
Kirloskar Oil Engine,+14.62
Shree Global Tra,+14.60
Ahluwalia Contra,+14.60
Vardhman Special St,+14.58
Sangam Renewables,+14.54
Ruby Mills,+14.54
City Union Bank,+14.54
India Nippon Ele,+14.52
Nahar Spg Mills,+14.50
Cybertech System,+14.49
Strides Pharma Scien,+14.45
Blue Chip Tex In,+14.43
Jindal Stainless (Hi,+14.43
Superior Finlease,+14.41
AYM Syntex,+14.40
Grandeur Products,+14.39
M M Forgings Ltd.,+14.32
Sun Techno Overseas,+14.29
Gautam Gems,+14.29
Laffans Petro.,+14.25
BCL Enterprises,+14.24
Amco India Ltd.,+14.20
Sterling and Wilson,+14.18
Asian Tea Export,+14.16
Lux Industries,+14.15
Lotus Chocolate,+14.15
Cochin Minerals,+14.15
Emmbi Industries,+13.99
GRM Overseas,+13.98
Guj. Mineral Dev,+13.96
Kretto Syscon,+13.96
Finolex Industri,+13.94
Eastern Silk Indust.,+13.91
Rathi Bars Ltd.,+13.90
Simmonds Marshal,+13.89
Zenith Fibres,+13.87
LIC Housing Fi,+13.83
Cineline India,+13.83
CSB Bank,+13.83
Sandur M & I Ore,+13.83
Rane Holdings Ltd.,+13.81
Religare Enterprises,+13.73
PBM Polytex,+13.71
Bliss GVS Pharma,+13.71
Fine Organic Indus,+13.68
Kolte-Patil Develope,+13.64
MothersonSumiSystems,+13.63
Kavit Industries,+13.57
Porwal Auto Comp,+13.51
Vascon Engineers Ltd,+13.48
Sadbhav Engineering,+13.45
Cyient Ltd.,+13.45
Nagarjuna Agrite,+13.45
Guj. Hotels Ltd.,+13.44
Kriti Nutrients,+13.41
Kushal L,+13.39
Rasi Electrodes,+13.39
Talbros Auto.,+13.35
SSPDL Ltd.,+13.34
Patel Integrated Log,+13.32
Gokak Textiles,+13.30
Aditya Birla Fashion,+13.29
Viceroy Hotels L,+13.28
Asian Hotels (East),+13.22
Agarwal Industrial C,+13.20
Rain Industries,+13.14
Timken India Ltd,+13.13
Insecticides (India),+13.12
Rolta India,+13.10
Asian Hotels (North),+13.04
Nitco Ltd.,+13.03
GHCL,+13.02
Tech Mahindra,+13.01
Shriram EPC Ltd.,+13.01
Flex Foods,+13.00
BLS International Se,+12.98
Vardhman Textiles Lt,+12.98
Victory Paper &,+12.94
Cosco (India),+12.93
Orient Press Ltd,+12.89
Shalimar Paints,+12.88
Apex Frozen Foods,+12.86
B&A Ltd.,+12.84
Lakshmi Machines,+12.79
Asian Oilfield S,+12.76
GMM Pfaudler Ltd,+12.75
H P Cotton Textiles,+12.73
BASF India Lt,+12.72
Dollar Industries,+12.70
United Van Der,+12.65
Mirc Electronics,+12.65
NCL Industries,+12.62
Oriental Hotels,+12.56
Valiant Organics,+12.56
Sanghi Industrie,+12.55
State Trading,+12.54
Nandan Denim,+12.53
Shiva Global Agro,+12.50
Ishan Dyes & Che,+12.50
Winsome Brewerie,+12.50
Metkore Alloys & Ind,+12.50
Symbiox Investment,+12.50
Walchand Peoplefirst,+12.45
Morepen Labs.Lt,+12.42
Elixir Capital,+12.41
Mansi Finance,+12.37
Surana Solar,+12.35
Deepak Fertilisers,+12.32
VMV Holidays Ltd.,+12.32
Lykis L,+12.30
GMR Infrastructure L,+12.29
JM Financial Ltd.,+12.27
Kavita Fabrics Ltd.,+12.25
RattanIndia Power,+12.23
Prism Johnson,+12.22
Thangamayil Jeweller,+12.22
Trent Ltd.,+12.19
Prakash Pipes,+12.14
Lincoln Pharmace,+12.13
Himalaya Food Inter,+12.12
Raymond Ltd,+12.10
Cholamandalam Invest,+12.08
Safari Indus.,+12.08
Banco Products,+12.07
Schaeffler India,+12.07
Shivalik Bimetal,+12.05
Zee Learn Ltd.,+12.03
Hind. Composites,+12.02
Titaanium Ten Enterp,+12.00
SKF India,+11.98
Texmaco Rail & Engin,+11.97
Endurance Technologi,+11.97
Orient Electric,+11.97
Competent Automo,+11.97
Astra Microwave,+11.84
Aptech Ltd.,+11.82
K P Energy Ltd.,+11.82
Prataap Snacks,+11.76
ABC India Ltd.,+11.71
Arvind Ltd.,+11.68
Mukesh Babu Fina,+11.67
Filatex India,+11.64
Stovec Indus.,+11.64
Arshiya,+11.64
Gujarat Fluorochem,+11.62
UFO Moviez India Ltd,+11.61
Solar Industries Ind,+11.57
Hester Biosciences L,+11.56
Divya Shakthi Gr,+11.54
Bharti Infratel Ltd.,+11.53
JMC Projects,+11.53
Shoppers Stop,+11.50
Dhanlaxmi Bank,+11.44
Surana Telecom and P,+11.42
IDFC First Bank,+11.42
Ind Renewable Energy,+11.39
Elecon Engg.,+11.38
Cummins India Lt,+11.38
AK Capital Services,+11.38
Energy Developme,+11.35
MRO-TEK Realty,+11.34
Poly Medicure Lt,+11.32
Gujarat Poly Electro,+11.31
Uni Abex Alloys,+11.28
Take Solutions Ltd.,+11.25
KIOCL,+11.24
Royale Manor Hot,+11.21
NOCIL Ltd.,+11.19
Brightcom Group,+11.19
PTC India,+11.19
HSIL Ltd.,+11.14
Super Tannery,+11.11
Jaipan Industrie,+11.11
Kalpataru Power,+11.10
Birla Cable,+11.05
Baba Arts,+11.02
Maha. Seamless,+11.02
La Opala RG Ltd.,+11.01
India Gelatine &,+11.01
Jayant Agro Org,+10.98
Hercules Hoists,+10.96
Sir Shadilal Ent,+10.95
Sadbhav Infrastructu,+10.94
Jayshree Tea,+10.93
Jaypee Infratech Ltd,+10.92
Liberty Shoes Li,+10.92
Akashdeep Metal Ind.,+10.89
Grasim Inds.,+10.87
Austin Engg. Co.,+10.86
ANG Lifesciences Ind,+10.84
Indian Metal & F,+10.84
Zeal Aqua,+10.83
APL Apollo Tubes,+10.81
Gillette India Ltd.,+10.76
Perfectpac,+10.75
Rico Auto Inds.,+10.74
Gloster L,+10.73
Tata Communications,+10.71
GIC Housing Fi,+10.71
PSL Ltd.,+10.71
Indo Amines Limi,+10.70
VCU Data Management,+10.70
Shalby,+10.68
Hindustan Media Vent,+10.67
Monte Carlo Fashions,+10.66
Autolite (I),+10.63
West Coast Paper,+10.61
Triton Valves,+10.60
Dixon Technologies,+10.60
Rane Engine Valve Lt,+10.58
NTPC,+10.55
Action Construction,+10.54
Pil Italica Lifestyl,+10.54
Tree House Education,+10.54
Avadh Sugar & Energy,+10.52
Grindwell Norton,+10.47
Sandhar Technologies,+10.42
Max Financial Servic,+10.40
Brahmaputra Infra,+10.38
Soma Textiles,+10.36
Ester India,+10.35
India Motor Part,+10.34
Xchanging Solutions,+10.34
IFB Agro Indus,+10.31
Ajmera Realty & Infr,+10.30
P G Industry Ltd,+10.24
Investment & Pre,+10.20
Dhampur Sugar,+10.15
Vipul Ltd.,+10.14
Pritika Auto Ind.,+10.11
