Company,% Change
Resonance Spec.,+2.05
Arihant Capital,+2.04
Alkyl Amines Che,+2.02
Oracle Financial Ser,+2.02
Gokaldas Exports,+2.01
Technocraft Industri,+2.01
Pooja Entertainment,+2.00
Hind.ConstructionCo.,+2.00
Ram Minerals & Chemi,+2.00
G S Auto Interna,+2.00
Saras.Commercial,+2.00
Amaze Entertech,+2.00
Esaar (India) Li,+2.00
Transglobe Foods,+2.00
Praveg Communication,+1.99
BCC Fuba India,+1.99
ASM Technologies Ltd,+1.99
Wardwizard Innovatio,+1.99
Unique Organics,+1.99
Archit Organosys,+1.99
IFB Agro Indus,+1.98
Maris Spinners L,+1.98
Prismx Global Ventur,+1.97
SBEC Sugar Lt,+1.97
Premier Synth.,+1.97
B&A Packaging India,+1.97
Avon Lifesciences L,+1.96
Ritesh Internati,+1.96
Shangar Decor,+1.96
Centum Electronics L,+1.96
Swastika Investmart,+1.95
Modern Insulator,+1.95
CHD Chemicals Ltd.,+1.95
GBL Industries,+1.95
Fineotex Chemical Lt,+1.94
Acme Resources,+1.93
Niyogin Fintech,+1.93
Manugraph India Ltd.,+1.92
Escorts Finance,+1.92
Aplab,+1.92
Sanghvi Brands,+1.92
Softsol India,+1.92
Shri Jagdamba Poly,+1.92
CCL International Lt,+1.92
Medico Intercontinen,+1.91
Sadhana Nitro,+1.90
Titan Securities,+1.90
Ludlow Jute & Specia,+1.90
Mishtann Foods L,+1.89
Rama Petrochem,+1.89
Jindal Hotels,+1.89
Aditya Spinners,+1.88
Som Distilleries,+1.87
Bharat Road Network,+1.86
Gandhi Special,+1.86
AvanceTechnologies,+1.85
Loyal Equipments Ltd,+1.85
K G Denim Ltd.,+1.85
Focus Suites Solutio,+1.85
Ortin Laborator.,+1.83
Southern Latex,+1.83
Olectra Greentech,+1.82
Dhanada Corporation,+1.82
Shilchar Technologie,+1.82
Esha Media Research,+1.82
Kabra Drugs Ltd.,+1.82
Lumax Auto Technolog,+1.81
Maithan Alloys Ltd.,+1.81
EIH Ltd.,+1.80
SAL Steel,+1.80
Syncom Formul.,+1.80
Banas Finance Lt,+1.80
Prerna Infrabuild Lt,+1.78
Dynamic Industri,+1.75
Universal Office Aut,+1.74
Sacheta Metals L,+1.72
Maxgrow India,+1.71
Mukta Arts Ltd.,+1.70
Maruti Suzuki India,+1.70
Ganges Securities,+1.69
Lykis L,+1.69
Unick Fix-A-Form,+1.69
AVT Natural Prod,+1.69
A & M Febcon,+1.67
Goenka Business,+1.67
Sangam Renewables,+1.67
Dhunseri Ventures,+1.65
Skyline Millars,+1.65
GEE Ltd.,+1.63
Joonktollee Tea,+1.62
Scanpoint Geomatics,+1.62
MSTC Ltd.,+1.61
Guj. Petrosynthe,+1.61
Prism Medico and Pha,+1.60
Dewan Housing,+1.59
Confidence Finance,+1.59
ABM Knowledgeware,+1.59
Maha. Seamless,+1.59
Ginni Filaments,+1.58
Advani Hotels,+1.57
UTL Industries,+1.56
Mohota Industries L,+1.55
Sri Havisha Hospital,+1.54
Shree Ganesh Bio-Tec,+1.54
Nxtdigital L,+1.53
Osiajee Texfab,+1.53
Vippy Spinpro,+1.52
Victoria Mills,+1.52
Zenith Exports L,+1.51
Indo Tech Transforme,+1.50
Punj. Communica,+1.50
Linc Pen & Plast,+1.50
AK Capital Services,+1.50
Blue Chip Tex In,+1.49
Century Textiles,+1.48
Repco Home Finance L,+1.47
TV Today Network Ltd,+1.44
Eimco Elecon Ind,+1.44
Zee Learn Ltd.,+1.43
Ind-Swift L,+1.43
Easun Capital Ma,+1.42
Rama Phosphates,+1.42
Rapicut Carbides,+1.37
National Fittings,+1.37
Cox & Kings L,+1.36
Meera Industries,+1.35
Kunststoffe Inds,+1.35
Vinaditya Trading Co,+1.35
Astec Lifesciences L,+1.34
Aditya Birla Capital,+1.34
Jubilant Life Scienc,+1.33
Madhav Infra Project,+1.33
Kamdhenu Ispat,+1.33
Sunil Industries,+1.33
Vipul Ltd.,+1.33
Dhoot Industrial,+1.33
Indo Borax,+1.32
Revathi Equipment Lt,+1.30
Cosmo Films,+1.30
Saboo Sodium Ch,+1.29
IFGL Refractories,+1.27
Ducon Infratech,+1.27
SML Isuzu Ltd.,+1.26
Thirani Projects,+1.25
Oil Country Tub.,+1.23
Setubandhan Infra,+1.22
JM Financial Ltd.,+1.22
Medicamen Biotec,+1.22
Astra Microwave,+1.21
Matrimony.com,+1.21
J B Chemicals & Phar,+1.21
Amber Enterprises,+1.21
Bimetal Bear.,+1.20
Tata Communications,+1.19
National Plastic,+1.18
Transcorp Inter,+1.17
KPI Global Infra,+1.16
Zenlabs Ethica,+1.15
Suncare Traders,+1.14
Kothari Ferment.,+1.14
Safari Indus.,+1.13
Symbiox Investment,+1.12
Richa Industries Ltd,+1.11
Radico Khaitan Ltd.,+1.11
M M Forgings Ltd.,+1.10
Fluidomat,+1.10
South Indian Ban,+1.09
Vedavaag Systems,+1.09
Bambino Agro Ind,+1.07
Oriental Aromatics,+1.07
Rishiroop L,+1.07
Jet Airways,+1.05
Elantas Beck India L,+1.04
Texmaco Infrastructu,+1.04
Mangalore Chem.,+1.04
Tube Investments,+1.03
Century Plyboards,+1.03
Relaxo Footwears,+1.02
Compuage Infocom Ltd,+1.02
Menon Pistons Li,+1.02
IndiaNivesh,+1.02
Rishi Techtex,+1.01
SKM Egg Produc,+1.01
BKM Industries,+1.01
Warren Tea,+1.00
BSEL Infra. Realty,+1.00
Auro Labs,+1.00
Racl Geartech,+0.99
Orient Green Power C,+0.99
Bedmutha Industries,+0.99
Lakshmi Mill Co.,+0.98
Mirc Electronics,+0.98
Tiger Logistics (Ind,+0.96
Majestic Auto,+0.95
Aurionpro Solutions,+0.94
Kirloskar Elect,+0.93
Kama Holdings Ltd.,+0.93
Uniply Decor,+0.93
Jayshree Chem.,+0.92
Themis Medicare Ltd.,+0.92
Oricon Enterprises L,+0.92
PG Electroplast Ltd.,+0.91
Apcotex Industries L,+0.90
Dhabriya Polywood,+0.90
Apollo Finvest,+0.89
Gabriel India,+0.89
Filatex India,+0.89
Imagicaaworld Entert,+0.88
Wall Street Fina,+0.88
PNB Housing Finance,+0.88
KRBL Ltd.,+0.88
AGC Networks,+0.87
JTEKT India,+0.86
Futuristic Sec.,+0.85
Harita Seating Syst.,+0.84
L P Navel and Engeer,+0.84
PTC India Financial,+0.84
TRF Ltd,+0.84
Fortis Healthcare,+0.83
Bhandari Hosiery,+0.83
Maruti Infrastru,+0.81
G G Engineering,+0.79
Subex Ltd.,+0.78
CHL Ltd.,+0.77
Aarti Ind. Ltd,+0.76
Krypton Ind.,+0.76
Krishna Capital,+0.74
Sanofi India,+0.74
GlaxoSmithKline Phar,+0.74
Khandwala Securi,+0.73
Supreme Petroche,+0.71
Baba Arts,+0.70
Panasonic Energy Ind,+0.69
Narayana Hrudayalaya,+0.69
Lambodhara Texti,+0.68
ZF Steering Gear,+0.67
DCM Ltd.,+0.67
Deccan Gold Mines,+0.66
Cosyn L,+0.66
Zim Laboratories,+0.65
United Van Der,+0.65
Security and Intelli,+0.65
Action Construction,+0.64
Whirlpool of Ind,+0.64
Repro India Ltd.,+0.64
Bella Casa Fashion &,+0.64
Inox Wind Ltd.,+0.63
Aravali Securiti,+0.63
Upasana Finance,+0.63
Lords Ishwar Hotels,+0.63
Mahindra Logistics L,+0.61
ASI Industries,+0.61
Genus Paper & Boards,+0.60
Goa Carbons,+0.59
DB Corp,+0.58
Lincoln Pharmace,+0.57
Galaxy Bearings,+0.57
Hilton Metal Forging,+0.57
BNK Capital Mark,+0.57
Tejnaksh Healthcare,+0.56
Odyssey Technolo,+0.56
Umang Dairies Ltd.,+0.56
Ruby Mills,+0.56
Abbott India Ltd.,+0.55
Mangalam Organics,+0.55
Quess Corp,+0.54
Nitco Ltd.,+0.54
Hawkins Cookers,+0.53
Tide Water Oil,+0.53
Triveni Eng.&Ind.Ltd,+0.53
Siemens Ltd.,+0.50
State Trading,+0.50
Anuh Pharma Ltd,+0.49
KEC International Lt,+0.49
Kanchi Karpooram,+0.49
BLS International Se,+0.48
Radhe Developers,+0.48
Ravileela Granites,+0.47
Bannari Amman Spinni,+0.47
Generic Engineering,+0.46
Kohinoor Foods Ltd.,+0.46
Generic Pharmasec,+0.46
MPS Ltd.,+0.44
Megasoft Ltd.,+0.44
Ashok Leyland,+0.43
S H Kelkar & Company,+0.43
Rodium Realty L,+0.42
SREI Infrastructure,+0.41
Nirlon,+0.41
Borosil L,+0.41
Mayur Leather Pr,+0.40
Aimco Pesticides,+0.40
Emerald Leasing Fin,+0.40
Tamilnadu Petroprod,+0.40
TCI Finance,+0.38
Jasch Industries,+0.38
Disa India Ltd.,+0.37
Grindwell Norton,+0.37
Bandhan Bank,+0.37
APL Apollo Tubes,+0.36
Voith Paper Fabrics,+0.35
Texmaco Rail & Engin,+0.35
